Date,Team Name,Team Size,Start Time,End Time,Total Time,Puzzles Solved
2018-05-08,JoRA,2,19:19:00,21:35:00,02:16:00,5
2018-05-08,Bludfart,3,19:07:00,21:44:00,02:37:00,5
2018-05-08,GC,2,,,,
2018-06-12,Team Knut,3,19:23:00,21:44:00,02:21:00,5
2018-06-12,Lady Charlotte,3,19:22:00,21:43:00,02:21:00,5
2018-06-12,Pickled Black Licorice,6,19:18:00,21:36:00,02:18:00,5
2018-06-12,Button Classic,4,20:06:00,21:35:00,01:29:00,5
2018-06-12,Puzzlestar Puzzlactica,2,19:11:00,21:32:00,02:21:00,5
2018-06-12,Squiiiiiid,5,19:43:00,21:29:00,01:46:00,5
2018-06-12,Numbskulls,3,19:12:00,21:22:00,02:10:00,5
2018-06-12,Low Brau Line,4,19:02:00,21:18:00,02:16:00,5
2018-06-12,Scent of Pot Roast,7,19:14:00,20:53:00,01:39:00,5
2018-06-12,Plant and Whale,8,19:20:00,20:45:00,01:25:00,5
2018-06-12,Gentleman Johnny's Party Train,3,19:22:00,20:38:00,01:16:00,5
2018-06-12,4 Score and 7 Beers Ago,4,19:21:00,20:27:00,01:06:00,5
2018-06-12,Dr. No We're Not There Yet! Don't Make Me Turn This Car Around!,4,19:32:00,20:19:00,00:47:00,5
2018-06-12,Zero Seconds,3,19:20:00,20:19:00,00:59:00,5
2018-06-12,12 Rats and a Cheesesteak,2,21:00:00,00:00:00,03:00:00,3
2018-06-12,GC,2,,,,
2018-07-10,Dr. Nogaroo,4,19:17:00,19:42:00,00:25:00,6
2018-07-10,Zero Seconds,3,19:09:00,19:52:00,00:43:00,6
2018-07-10,Team Kat's Team,6,19:02:00,19:48:00,00:46:00,6
2018-07-10,Button Classic,6,19:10:00,20:02:00,00:52:00,6
2018-07-10,Squaaaaaared,5,19:26:00,20:09:00,00:43:00,6
2018-07-10,Four Score and Seven Beers Ago,3,19:20:00,20:14:00,00:54:00,6
2018-07-10,Puzzlestar Puzzlactica,4,19:09:00,20:14:00,01:05:00,6
2018-07-10,Bourbon Ballers,3,19:12:00,20:22:00,01:10:00,6
2018-07-10,Spinish,5,19:34:00,20:35:00,01:01:00,6
2018-07-10,Plant and Whale,3,19:15:00,20:40:00,01:25:00,6
2018-07-10,Not Carol,6,19:33:00,21:00:00,01:27:00,6
2018-07-10,Cautious Hamsters,3,19:17:00,21:17:00,02:00:00,6
2018-07-10,Hawkeyes,2,19:05:00,21:25:00,02:20:00,5
2018-07-10,Northfield Courier Service,1,,,00:00:00,
2018-07-10,GC,,,,,
2018-08-14,Election Buzz,2,20:29:00,21:57:00,01:28:00,5
2018-08-14,AAAAAAAA,2,19:32:00,21:54:00,02:22:00,5
2018-08-14,Button Classic,5,20:12:00,21:09:00,00:57:00,5
2018-08-14,Do You Stand or Sit?!,6,19:14:00,21:08:00,01:54:00,5
2018-08-14,Plant & Whale,3,19:51:00,21:01:00,01:10:00,5
2018-08-14,Just Do Tum,5,19:07:00,20:54:00,01:47:00,5
2018-08-14,Werewolf Bar Mitzvah,3,19:38:00,20:45:00,01:07:00,5
2018-08-14,Squiiiiiiirtle,3,19:17:00,20:36:00,01:19:00,5
2018-08-14,Gentleman Johnny's Party Train,4,19:41:00,20:32:00,00:51:00,5
2018-08-14,Scent of Pot Roast,4,19:07:00,20:30:00,01:23:00,5
2018-08-14,Dr. No Tyler or Mikayla,4,19:54:00,20:23:00,00:29:00,5
2018-08-14,Pickled Blank Licorice,5,19:15:00,20:18:00,01:03:00,5
2018-08-14,4 Score and 7 Beers Ago,4,19:41:00,20:10:00,00:29:00,5
2018-08-14,Puzzlestar Puzzlactica,5,19:14:00,20:09:00,00:55:00,5
2018-08-14,Low Brow Line,4,19:00:00,19:49:00,00:49:00,5
2018-08-14,Team Kat's Team,4,19:25:00,19:55:00,00:30:00,5
2018-08-14,Zero Seconds,3,19:05:00,19:59:00,00:54:00,5
2018-08-14,Prismatic Nexus,3,19:19:00,20:00:00,00:41:00,5
2018-08-14,Name Blank,5,19:13:00,20:26:00,01:13:00,5
2018-08-14,Taylor,2,19:09:00,21:20:00,02:11:00,3
2018-08-14,GC,2,,,,
2018-09-11,Puzzlestar Puzzlactica,6,19:14:00,20:02:00,00:48:00,5
2018-09-11,Zero Seconds,3,19:07:00,20:18:00,01:11:00,5
2018-09-11,Jareth's Daycare,4,19:01:00,20:32:00,01:31:00,5
2018-09-11,The Michael Moschen Society,2,19:01:00,20:44:00,01:43:00,5
2018-09-11,High Pressure Puzzle People,3,19:09:00,20:46:00,01:37:00,5
2018-09-11,Scent of Pot Roast,5,19:09:00,20:43:00,01:34:00,5
2018-09-11,Team Kat's Team,6,19:33:00,20:43:00,01:10:00,5
2018-09-11,Low Brow LiNe,4,19:01:00,20:41:00,01:40:00,5
2018-09-11,Plant & Whale,4,19:25:00,20:52:00,01:27:00,5
2018-09-11,Dr. Knowie,5,20:13:00,20:54:00,00:41:00,5
2018-09-11,Werewolf Bar Mitzvah,4,19:47:00,20:55:00,01:08:00,5
2018-09-11,Bourbon Ballers,4,19:24:00,21:10:00,01:46:00,5
2018-09-11,Gentleman Johnny's Party Train,4,19:39:00,20:57:00,01:18:00,5
2018-09-11,Driving School Dropout,4,19:03:00,21:16:00,02:13:00,5
2018-09-11,Pickled Black Licorice,5,19:30:00,20:20:00,00:50:00,5
2018-09-11,Squiiiiiiiiiiiiire!!!!!!!!!!,4,20:05:00,21:26:00,01:21:00,5
2018-09-11,Most Likely,2,19:53:00,21:00:00,01:07:00,1
2018-09-11,Hawkeyes,2,19:08:00,21:00:00,01:52:00,1
2018-09-11,<no name>,5,19:35:00,21:16:00,01:41:00,1
2018-09-11,<no name>,2,19:45:00,21:16:00,01:31:00,
2018-09-11,GC,2,,,,
2018-10-09,WareWolfé Bärmitzvah,3,19:45:00,21:09:00,01:24:00,5
2018-10-09,Tuuuuuurd,4,20:03:00,20:58:00,00:55:00,5
2018-10-09,Pickled Black Licorice,5,19:15:00,20:45:00,01:30:00,5
2018-10-09,Epic Sailors,2,19:49:00,20:22:00,00:33:00,5
2018-10-09,Team Kat's Team 😬,4,19:29:00,20:18:00,00:49:00,5
2018-10-09,Dr. Knowlittle,4,19:51:00,20:12:00,00:21:00,5
2018-10-09,Puzzlestar Puzzlactica,4,19:26:00,20:12:00,00:46:00,5
2018-10-09,The Likely Suspects,4,19:14:00,20:02:00,00:48:00,5
2018-10-09,Prismatic Nexus,4,19:02:00,19:45:00,00:43:00,5
2018-10-09,Low Braü Line,4,19:02:00,20:03:00,01:01:00,5
2018-10-09,4 Score + 7 Beers Ago,3,19:27:00,20:03:00,00:36:00,5
2018-10-09,Zero Seconds,3,19:25:00,20:25:00,01:00:00,5
2018-10-09,Team Homeschool,2,19:39:00,20:25:00,00:46:00,5
2018-10-09,[Insert Witty Team Name Here] --> Jareth,4,19:05:00,20:26:00,01:21:00,5
2018-10-09,Scent of Pot Roast,3,19:20:00,20:36:00,01:16:00,5
2018-10-09,Plant & Whale,4.5,19:29:00,20:40:00,01:11:00,5
2018-10-09,Gentleman Johnny's Party Train,2,19:31:00,20:45:00,01:14:00,5
2018-10-09,Noble Dust,3,19:15:00,20:48:00,01:33:00,5
2018-10-09,Button Classic,5,19:56:00,20:53:00,00:57:00,5
2018-10-09,Rally,5,19:12:00,21:28:00,02:16:00,5
2018-10-09,I was saying Boo-urns,4,19:12:00,21:28:00,02:16:00,5
2018-10-09,GC,3,,,,
2018-11-13,1' = '1'; Drop; Teams,2,19:04:00,21:51:00,02:47:00,5
2018-11-13,The Hawkeyes,4,19:00:00,21:39:00,02:39:00,5
2018-11-13,Dream Crushers,4,19:09:00,21:24:00,02:15:00,5
2018-11-13,Tired Spirits,5,20:20:00,21:24:00,01:04:00,5
2018-11-13,Ms. Mount Rose American Princess,3,19:07:00,21:16:00,02:09:00,5
2018-11-13,Pickled Black Licorice,5,19:29:00,20:58:00,01:29:00,5
2018-11-13,Noble Dust,3,19:07:00,20:51:00,01:44:00,5
2018-11-13,; Drop Table Puzzles; ,5,19:05:00,20:46:00,01:41:00,5
2018-11-13,Scent of Pot Roast,5,19:13:00,20:45:00,01:32:00,5
2018-11-13,Dr. Leonordo,4,19:57:00,20:39:00,00:42:00,5
2018-11-13,B team,2,19:06:00,20:37:00,01:31:00,5
2018-11-13,Plant & Whale,5,19:29:00,20:36:00,01:07:00,5
2018-11-13,puzzleteam dot com,7,19:03:00,20:36:00,01:33:00,5
2018-11-13,High-Pressure Puzzle People,4,19:10:00,20:26:00,01:16:00,5
2018-11-13,Team Kat's Team,6,19:30:00,20:28:00,00:58:00,5
2018-11-13,Spinish,4,19:03:00,20:22:00,01:19:00,5
2018-11-13,Out of Bounds,4,19:03:00,20:15:00,01:12:00,5
2018-11-13,Zero Seconds,2,18:57:00,21:10:00,02:13:00,5
2018-11-13,Puzzlestar Puzzlactica,4,19:06:00,20:13:00,01:07:00,5
